年度,カテゴリ,薬効分類,薬効分類名,グループ,個数（薬剤種類数）,数量合計
FY2021,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,75,2680136.738
FY2021,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,6,329277.1082
FY2021,注射_外来院内,429,その他の腫瘍用薬,2019年存在,83,6734399.226
FY2021,注射_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,17,417152.3138
FY2021,注射_外来院外,421,アルキル化剤,2019年存在,0,0
FY2021,注射_外来院外,421,アルキル化剤,2019年非存在（新規）,1,0
FY2021,注射_外来院外,422,代謝拮抗剤,2019年存在,0,0
FY2021,注射_外来院外,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2021,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,1,0
FY2021,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2021,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,0,0
FY2021,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,1,0
FY2021,注射_外来院外,429,その他の腫瘍用薬,2019年存在,3,0
FY2021,注射_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,4,0
FY2022,内服_外来院内,421,アルキル化剤,2019年存在,9,501313.39
FY2022,内服_外来院内,421,アルキル化剤,2019年非存在（新規）,0,0
FY2022,内服_外来院内,422,代謝拮抗剤,2019年存在,35,17195848.74
FY2022,内服_外来院内,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2022,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2022,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2022,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,4,30256
FY2022,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2022,内服_外来院内,429,その他の腫瘍用薬,2019年存在,82,52610291.91
FY2022,内服_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,18,4122683.839
FY2022,内服_外来院外,421,アルキル化剤,2019年存在,9,2278901.59
FY2022,内服_外来院外,421,アルキル化剤,2019年非存在（新規）,0,0
FY2022,内服_外来院外,422,代謝拮抗剤,2019年存在,41,88562122.48
FY2022,内服_外来院外,422,代謝拮抗剤,2019年非存在（新規）,1,0
FY2022,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2022,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2022,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,4,131641
FY2022,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2022,内服_外来院外,429,その他の腫瘍用薬,2019年存在,86,268692053.2
FY2022,内服_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,14,16019425.5
FY2022,注射_外来院内,421,アルキル化剤,2019年存在,12,416121.6402
FY2022,注射_外来院内,421,アルキル化剤,2019年非存在（新規）,6,58865.666
FY2022,注射_外来院内,422,代謝拮抗剤,2019年存在,43,3629119.012
FY2022,注射_外来院内,422,代謝拮抗剤,2019年非存在（新規）,27,149477.6405
FY2022,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,33,681328.497
FY2022,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,3,0
FY2022,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,73,2690344.716
FY2022,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,14,367403.6003
FY2022,注射_外来院内,429,その他の腫瘍用薬,2019年存在,78,6733727.396
FY2022,注射_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,22,864513.1554
FY2022,注射_外来院外,421,アルキル化剤,2019年存在,0,0
FY2022,注射_外来院外,421,アルキル化剤,2019年非存在（新規）,1,0
FY2022,注射_外来院外,422,代謝拮抗剤,2019年存在,0,0
